what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616303423
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294616306087
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616309915
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616311179
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616311203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616479337
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616484043
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616484796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616493985
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616494398
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616761641
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616761737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616762259
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616762575
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616763045
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616767055
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616773328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616773388
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616773885
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616775050
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294616775084
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294616776837
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776837
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776864
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776879
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776894
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776913
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776924
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776930
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616776940
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616777929
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294616777972
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294616777996
