what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1294606552090
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1294606552090
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1294606552091
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1294606552092
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1294606552093
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1294606552093
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1294606552094
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1294606552095
os,sysinfo,,,"linux",1294606552098
arch,sysinfo,,,"x86",1294606552098
ws,sysinfo,,,"gtk",1294606552098
locale,sysinfo,,,"en_US",1294606552098
processors,sysinfo,,,"4",1294606552099
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1294606552099
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1294606552099
java.specification.name,sysinfo,,,"Java Platform API Specification",1294606552099
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294606552099
java.specification.version,sysinfo,,,"1.6",1294606552099
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1294606552099
java.version,sysinfo,,,"1.6.0_22",1294606552099
java.vm.info,sysinfo,,,"mixed mode, sharing",1294606552099
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1294606552099
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1294606552099
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294606552099
java.vm.specification.version,sysinfo,,,"1.0",1294606552099
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1294606552099
java.vm.version,sysinfo,,,"17.1-b03",1294606552099
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294606552101
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294606562707
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1294606564078
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294606571012
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1294606571375
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1294606571436
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294606575523
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294606575593
